Course Name,Madgrades Link,Course Code,Average GPA
Elementary Logic,https://madgrades.com/courses/7821b82a-b977-307e-9214-de7210f03042,PHILOS 211,3.246
Introduction to Engineering Design,https://madgrades.com/courses/d6d48ab8-f992-32fb-95d0-3990688fcd2c,INTEREGR 160,3.660
Introductory Applied Statistics for Engineers,https://madgrades.com/courses/af01d7d8-e43f-33d5-bded-746bfe45f2b5,STAT 324,3.152
Introduction to Algorithms,https://madgrades.com/courses/1f36cc02-0eee-3fcf-be09-1ad17aecf83c,COMP SCI 577,3.090
Introduction to Artificial Intelligence,https://madgrades.com/courses/de8a0a8c-e076-3ec2-8b6c-e1e1ee82a53e,COMP SCI 540,3.203
Abnormal Psychology,https://madgrades.com/courses/22aa56af-50a4-397c-95d8-affbbc4ed686,PSYCH 509,2.823
Evolution and Extinction,https://madgrades.com/courses/2b25ad1c-670c-3241-83b5-9d6d800966ff,GEOLOGY 110,2.916
All-University String Orchestra,https://madgrades.com/courses/72f97093-b365-3016-8beb-941a785b5231,MUSIC 60,3.971
Business Analytics I,https://madgrades.com/courses/b83fd98c-d07b-3eac-a6cb-c435610fc7ca,GEN BUS 306,3.120
Consumer Finance,https://madgrades.com/courses/2ce7f4dc-e082-3dac-bbf9-d32a47e0b8ed,CNSR SCI 275,3.366
Gems: The Science Behind the Sparkle,https://madgrades.com/courses/10560108-a9bf-380d-a14d-aafe62485c65,GEOLOGY 331,3.230
Intro to Modern American Lit,https://madgrades.com/courses/48affed2-0e88-3234-82a3-b0fe0d4dd434,ENGLISH 169,3.343
American Society: How It Really Works,https://madgrades.com/courses/99e9c065-6dba-30ad-8193-8c9d6820ff86,SOC 125,3.135
Research Methods,https://madgrades.com/courses/f265e104-a761-3e2f-8989-4db5b4a6e981,PSYCH 225,3.021
Contemporary Topics,https://madgrades.com/courses/d28578a5-d43d-3dc2-8389-4efd50c0b90d,GEN BUS 365,3.580
In Translation: The Tales of Hans Christian Andersen,https://madgrades.com/courses/1fb63347-3879-3ffa-8e24-63ae7e039c4c,LITTRANS 275,3.463
Introduction to Data Structures,https://madgrades.com/courses/892c1608-d603-3e23-80b9-5db404724b39,COMP SCI 367,2.978
Our Digital Globe: An Overview of GIScience and its Technology,https://madgrades.com/courses/6b991cc1-966f-3f14-bed0-94228de4df43,GEOG 170,3.363
Introduction to Operating Systems,https://madgrades.com/courses/e9a360bc-be2d-35d1-9684-a464bbbd0c15,COMP SCI 537,3.362
Investment Theory,https://madgrades.com/courses/a0662959-4dae-366f-946f-fe52d256f9d3,FINANCE / ECON 320,3.283
Introduction to Global Health,https://madgrades.com/courses/73ae2e6b-6efc-3ad2-86c2-0dc0af787be3,AGRONOMY / ENTOM / NUTR SCI 203,3.799
Africa: An Introductory Survey,https://madgrades.com/courses/77142883-6926-3b0a-b384-1f669204988f,AFRICAN / AFROAMER / ANTHRO / GEOG / HISTORY / POLI SCI / SOC 277,3.260
Introductory Engineering Graphics,https://madgrades.com/courses/a5d832d3-faa2-3386-acf6-7bfbde6b09ff,M E 231,3.166
Introduction to Human Geography,https://madgrades.com/courses/f69d9d8f-dc0c-31f5-b3ed-2d4712792982,GEOG 101,3.318
Human Sexuality: Social and Psychological Issues,https://madgrades.com/courses/4ff7da5a-4227-331b-9751-0141474b34e1,PSYCH / SOC 160,3.014
Introduction to Hispanic Literatures,https://madgrades.com/courses/e05e5940-d15a-3257-9813-e4f6f722e271,SPANISH 224,3.545
General Botany,https://madgrades.com/courses/7ed5e8fe-31a1-37c1-8d69-a9c07ee25887,BIOLOGY / BOTANY 130,2.913
Introduction to Hispanic Cultures,https://madgrades.com/courses/882ad46c-d738-392b-8d84-2c3586311555,SPANISH 223,3.561
Introduction to Materials Science,https://madgrades.com/courses/ce2189ea-6319-33c5-a127-388c6ccb0031,M S & E 350,3.444
Introduction to International Studies,https://madgrades.com/courses/ac00f625-5340-32c0-b360-971af363637b,INTL ST 101,3.251
Pathophysiologic Principles of Human Diseases,https://madgrades.com/courses/4ef35976-6528-369d-a6b1-ef62620620a8,PATH 404,3.282
Techniques in Ordinary Differential Equations,https://madgrades.com/courses/85dc5e15-56ba-3865-b947-5c7ba3b0c11e,MATH 319,2.973
Money and Banking,https://madgrades.com/courses/9b790806-7d09-3d63-a92f-0c77a9f6bd78,ECON 330,2.849
Programming III,https://madgrades.com/courses/e449f054-a344-3556-b18a-5333e51ceb82,COMP SCI 400,3.358
Environmental Conservation,https://madgrades.com/courses/e8c29817-b5a5-339f-8ae8-0f00f457dede,ENVIR ST / GEOG 339,2.946
Business Analytics II,https://madgrades.com/courses/2c7e85a2-1e03-3901-951a-10b485ce7be9,GEN BUS 307,3.200
Introduction to Film,https://madgrades.com/courses/e77da687-7e88-33a3-b672-402121077372,COM ARTS 350,3.149
Human Development in Adolescence,https://madgrades.com/courses/ef9445ed-4389-3cef-8af3-ea374259d314,ED PSYCH 321,3.381
Calculus and Introduction to Differential Equations,https://madgrades.com/courses/55571512-7aba-36e5-a212-eb77d17cd979,MATH 213,3.132
Derivative Securities,https://madgrades.com/courses/e796d9d4-162f-33e2-a3b0-28eb5c15fb16,FINANCE 330,3.273
Biology of Microorganisms Laboratory,https://madgrades.com/courses/0810dc81-809d-38a9-8990-c9bf0b6dd0be,MICROBIO 304,3.238
Neurobiology,https://madgrades.com/courses/989832dc-e1a3-35b0-b3a2-b80c09a76651,NTP / PSYCH / ZOOLOGY 523,3.306
Thermodynamics,https://madgrades.com/courses/04f02f18-c86e-32e2-9343-91316fa73b84,M E 361,2.993
Extinction of Species,https://madgrades.com/courses/f3a459f1-4a70-314f-bd98-7c643b6314c4,ENVIR ST / F&W ECOL / WL ECOL / ZOOLOGY 360,3.344
Introduction to Communicative Disorders,https://madgrades.com/courses/a564aba1-4004-3ea2-b32d-d49cb833426d,COM DIS 110,3.476
Corporation Finance,https://madgrades.com/courses/ad142c66-4592-373b-9205-29f88443e138,FINANCE 325,3.327
Immunology,https://madgrades.com/courses/e6815055-bbb0-3e0f-9089-bf581caaf367,M M & I 341,3.681
The Biology and Appreciation of Companion Animals,https://madgrades.com/courses/4fb3d5c3-cc28-3696-ba9d-5588725c7c5f,AN SCI 200,2.972
Environmental Geology,https://madgrades.com/courses/b06a3c06-ff85-3a1d-b913-a5d35aa608b1,ENVIR ST / GEOLOGY 106,3.084
Digital System Fundamentals,https://madgrades.com/courses/73e639b4-409e-3bcd-9211-51eafa19a1b1,COMP SCI / E C E 352,3.059
Introduction to Theory and Methods of Mathematical Statistics I,https://madgrades.com/courses/0a79210e-443f-3380-85a1-377120f0693e,STAT 311,3.225
Calculus with Algebra and Trigonometry II,https://madgrades.com/courses/4bbe242a-9bd1-3cbd-8028-df71319855c5,MATH 217,2.712
Intro to Modern Lit since 1900,https://madgrades.com/courses/5c1997ea-fc84-362b-9040-b51a3a7b59f1,ENGLISH 168,3.320
Classical Mythology,https://madgrades.com/courses/d2c2613b-faa0-39e0-bd0d-0a08dbb42e96,CLASSICS 370,3.248
Consumer Behavior,https://madgrades.com/courses/e110a0ba-8603-3134-a806-10d46e39d22b,MARKETNG 305,3.416
Television Industries,https://madgrades.com/courses/54900332-20c3-3249-ab1b-d24e3ce2b457,COM ARTS 351,3.084
General Microbiology Laboratory,https://madgrades.com/courses/911d5c71-bf44-3032-b33d-b558e7f5f744,MICROBIO 102,3.563
Introductory Ecology,https://madgrades.com/courses/12376d79-c8f2-3c65-b20e-9f96c2bb58ec,BOTANY / ENVIR ST / ZOOLOGY 260,3.113
