Course Name,Madgrades Link,Course Code,Average GPA
Mental Health and Mental Illness: Implications for Nursing,https://madgrades.com/courses/7d86ddf1-8566-336b-aa00-8ce9a05f843f,NURSING 310,3.846
Hydroscience,https://madgrades.com/courses/2fddaade-f5aa-34a5-87d5-1b3a0b404695,CIV ENGR 311,2.892
Theory and Practice of Group Discussion,https://madgrades.com/courses/c3f04163-bd78-3bee-ae89-08a2fe2f7a92,COM ARTS 266,3.261
Contemporary Topics,https://madgrades.com/courses/19c074f7-7910-351e-a9c5-a9351e476dc0,MARKETNG 365,3.577
Psychology of Personality,https://madgrades.com/courses/0c23679f-b773-3e30-9dff-547048aa9932,PSYCH 507,3.088
Introduction to Exercise Psychology,https://madgrades.com/courses/f4bc4616-f6b1-3ea0-8b79-0ebc01549713,KINES 350,3.555
Disability and Society,https://madgrades.com/courses/0eda0688-997f-3a84-a101-bfc41094e1a2,RP & SE 100,3.816
Problem Solving Using Computer Tools,https://madgrades.com/courses/104a6245-c34c-3691-b11d-3656793deba7,CIV ENGR / G L E 291,3.092
"Mind, Brain and Education",https://madgrades.com/courses/0bcfdf47-e9d7-38fb-8b02-117010015b75,ED PSYCH 326,3.587
Modern Algebra,https://madgrades.com/courses/d4d8c421-04b5-377b-a268-c7cc7304bf2e,MATH 541,2.962
Introduction to Linguistics: Descriptive and Theoretical,https://madgrades.com/courses/9d71de54-d0aa-3618-a47c-e643d19790a0,ANTHRO / LINGUIS 301,3.301
Financial Life Skills for Undergraduates,https://madgrades.com/courses/2b25cdf3-de38-3535-81d1-2a03efd2111c,CNSR SCI 111,3.869
Introductory Biology,https://madgrades.com/courses/b14092ad-4251-36d9-9157-f4ce4c0aacab,BIOLOGY / BOTANY / ZOOLOGY 153,2.741
Physiology of Exercise,https://madgrades.com/courses/a41be17e-cfb2-354f-98a0-301154563b81,KINES 314,3.407
Animal Behavior,https://madgrades.com/courses/530a85d5-4f81-30b4-9c72-b0d25c67266c,PSYCH 449,2.894
Introduction to Stochastic Processes,https://madgrades.com/courses/6bf60bd9-e21c-3a90-8848-e5552e136fd4,OTM / I SY E / MATH / STAT 632,3.130
Community Health Nursing,https://madgrades.com/courses/ff9aa99a-0a48-3bcb-859b-5ca0d0a1d77d,NURSING 322,3.846
The First Amendment,https://madgrades.com/courses/da39e47c-6e98-3a57-927f-13a5ed529309,POLI SCI 470,3.183
Transportation Engineering,https://madgrades.com/courses/1af03bfc-4be2-3a67-8d21-c681b2ddb90d,CIV ENGR 370,3.217
Ethnic and Multicultural Literature,https://madgrades.com/courses/becc2c53-2c0c-373a-983b-5f443ae4235a,ENGL 173,3.671
Machine Learning,https://madgrades.com/courses/e6d6df0e-1456-36bb-81bc-5648cf0f224d,COMP SCI / E C E 760,3.665
Production Planning and Control,https://madgrades.com/courses/9f3f6d03-bd01-3658-ace3-6dff0469969a,I SY E 315,3.753
Nursing Care of Persons and Families with Complex Health Care Needs,https://madgrades.com/courses/5e465730-d444-3bbe-bf8a-64abf939aa89,NURSING 449,3.917
Introduction to Digital Communication,https://madgrades.com/courses/f698c264-6ced-3864-9582-46c1b91e2dae,COM ARTS 200,3.479
The American Constitution : Powers and Structures of Government,https://madgrades.com/courses/9f2614c4-d183-302d-9163-b9ab6818eb5e,POLI SCI 411,3.275
Applied Mathematical Analysis,https://madgrades.com/courses/36ef426f-03c5-32f0-9877-6f37ad95a232,MATH 321,2.499
Professional Decision-Making in Pharmacy Practice,https://madgrades.com/courses/d8d2b59d-b3b8-3dd2-bef5-682896e51d64,S&A PHM 618,3.811
Principles of Archaeology,https://madgrades.com/courses/e842fdc6-945f-392b-b55a-3a1369cfadb8,ANTHRO 112,2.999
Strategic Management,https://madgrades.com/courses/3b2fedd8-0705-3747-8276-8e098af899fe,M H R 423,3.534
Contemporary Issues in the Engineering Profession,https://madgrades.com/courses/25c1b534-c687-3c7f-b026-8995ec4d5e09,INTEREGR 101,3.635
Human Responses to Health and Illness I,https://madgrades.com/courses/2b491727-934e-355d-a60c-af7abe30eb12,NURSING 212,3.689
Health History and Patient Assessment,https://madgrades.com/courses/e1e8d066-0798-3e18-b7f3-97fd907d0e51,NURSING 301,3.866
Linear Programming Methods,https://madgrades.com/courses/4c05436f-19b3-3f06-b99a-c28d268997f5,COMP SCI / I SY E / MATH / STAT 525,2.970
Human Responses to Health and Illness II,https://madgrades.com/courses/ae6b1a52-12d9-3e44-acfb-8b98cb070685,NURSING 312,3.452
Actuarial Science Methods II,https://madgrades.com/courses/be5beb82-5c1b-3315-ac4b-a0e09da1541a,ACT SCI 301,3.912
Integrated Respiratory System,https://madgrades.com/courses/820fbdcd-ad17-3c59-b479-03c167b72206,MED SC-M 715,3.451
Introduction to Microprocessor Systems,https://madgrades.com/courses/39095791-9e93-3f76-ac12-f5ec33f91d19,E C E 353,3.182
Integrated Hematology System,https://madgrades.com/courses/17bb8923-99f1-39bc-85c7-482ef13f82fa,MED SC-M 703,3.361
Integrated Endocrinology and Reproductive Health,https://madgrades.com/courses/6e769306-e883-3ad9-99c4-2779f5d6ee62,MED SC-M 711,3.436
Introduction to Retailing,https://madgrades.com/courses/d57772a7-976f-31e6-99c0-77658b38b6f9,CNSR SCI 257,3.703
Criminal Law and Justice,https://madgrades.com/courses/c6b50101-a121-3627-9de4-a03b26a6e8d1,POLI SCI 452,3.127
Integrated Gastrointestinal & Hepatic Systems,https://madgrades.com/courses/5b292081-98a0-3274-8a93-84ffec432ebb,MED SC-M 707,3.523
Legal and Social Forces in Nursing,https://madgrades.com/courses/cd304e29-c179-351f-a24a-1beee42c656e,NURSING 401,3.660
Racial Ethnic Families in the U.S.,https://madgrades.com/courses/02431d68-6362-3b65-b93c-192c32658560,HDFS 474,3.720
Organizational Influences on Interdisciplinary Practice,https://madgrades.com/courses/70cb36d8-8877-3572-89e0-b9d1b3dab647,NURSING / THER SCI 415,3.914
Human Sexuality,https://madgrades.com/courses/80a75607-cb65-3171-822d-580c5041aac6,PSYCH / SOC 350,3.152
"Science, Media and Society",https://madgrades.com/courses/88dec1cd-c2d9-37cb-8636-beb560e47a9a,L SC COM 251,3.262
"Child Language Disorders, Assessment and Intervention",https://madgrades.com/courses/8fda5115-4287-343c-8e3d-98d963512339,COM DIS 440,3.647
Structural Analysis I,https://madgrades.com/courses/5768f9de-1eb3-36e2-9742-2508484d7d0d,CIV ENGR 340,3.280
Literature and Culture I: to the 18th Century,https://madgrades.com/courses/a20013e6-24ba-3f75-9723-d7644500ef1c,ENGL 241,3.417
A History of Rome,https://madgrades.com/courses/479611ef-77ff-32e1-b884-d10ae9c471f7,HISTORY 307,3.361
Introduction to Audiology,https://madgrades.com/courses/d7088b56-66c1-37a8-8490-d33cb7800771,COM DIS 320,3.768
Introduction to Pharmacy Practice Experience III,https://madgrades.com/courses/81f7ab67-33c2-3aca-b4d0-f726411f062e,PHM PRAC 525,3.927
Introduction to Digital Information,https://madgrades.com/courses/d83379a7-ead7-39b0-810e-318550f4bf6d,L I S 351,3.753
Current Directions in Art,https://madgrades.com/courses/9e7a1355-e103-3d67-8d31-3cda77bf7d50,ART 208,3.472
Engineering Design with Polymers,https://madgrades.com/courses/273fd5d3-0d76-39cd-a9cf-8ff667742a07,M E 418,3.710
Plants and Humans,https://madgrades.com/courses/5671f2d3-82f4-3ca2-b7d1-901292eeec86,BOTANY / GEOG 240,3.116
Introduction to Systematic Investigation,https://madgrades.com/courses/78827b7f-5b71-3f59-8340-a6000b0cd990,NURSING 302,3.930
Phonetics and Phonological Development,https://madgrades.com/courses/2ba8de52-38d7-3815-b190-7526568432ee,COM DIS 315,3.661
Electronic Circuits II,https://madgrades.com/courses/85091315-2606-35ba-b9e3-dceb24335332,E C E 342,3.267
Person and Environment Interactions,https://madgrades.com/courses/06a5a8e5-1002-3c9a-930d-eee941bd05cb,DS 221,3.165
"HIV: Sex, Society and Science",https://madgrades.com/courses/9f8acd19-d325-3172-9031-a424c17ab830,PATH-BIO / PATH 210,3.433
"Western Culture: Science, Technology, Philosophy II",https://madgrades.com/courses/35abd8e4-2994-36e3-a279-9f22450c0183,ILS 202,3.322
Explorations in American History (H),https://madgrades.com/courses/ea2436d7-a09f-39e9-b66b-93e23de92788,HISTORY 221,3.233
Introduction to Numerical Methods,https://madgrades.com/courses/14d37fdc-b58d-30df-af83-a32e1779c8d6,COMP SCI 412,2.971
Marketing in a Digital Age,https://madgrades.com/courses/d0bcec05-8874-357a-a79d-a2f3220e1dd7,MARKETNG 355,3.828
Introduction to Political Theory,https://madgrades.com/courses/6a24eb5b-b649-3f02-be03-1f806a3d5af0,POLI SCI 160,3.472
Survey of Botany,https://madgrades.com/courses/46d4db4b-52c9-30b0-b1f4-87117c8e876f,BOTANY 100,3.374
Real Estate Law,https://madgrades.com/courses/676986f6-e084-31ba-ad5e-6d577fd506c3,REAL EST 312,3.350
Introduction to African Literature,https://madgrades.com/courses/c222a490-cc7f-3e70-a2f1-c9a3fa3dbc42,AFRICAN 201,3.578
Clinical III: Community Health Nursing Practicum,https://madgrades.com/courses/124be584-113f-342a-b245-0518685bcd93,NURSING 419,3.944
Literature & Culture of Asian America,https://madgrades.com/courses/e1670053-f677-37ce-a604-2d82f420c781,ASIAN AM / ENGL 150,3.584
The Ancient Mediterranean,https://madgrades.com/courses/73c7a5b7-3011-3d22-b390-7359fabba458,CLASSICS / HISTORY 110,3.355
Volcanoes and Civilization,https://madgrades.com/courses/e9eee1ea-5dc0-33a8-b997-cbc519c704cf,GEOLOGY 111,3.122
Introduction to Modern and Contemporary Literature,https://madgrades.com/courses/4cb449d1-5d35-3c20-b343-42fe786d9081,COMP LIT 202,3.507
Linear Algebra,https://madgrades.com/courses/8e579094-c980-30e2-9972-1e8151db1ab5,MATH 341,3.147
Literature and Popular Culture,https://madgrades.com/courses/aab3075a-5b8d-35dc-bc1e-5b432f975829,ENGLISH 177,3.537
The Origins of Scientific Thought,https://madgrades.com/courses/ea7a4b84-7ae1-35f5-9520-f207be61b1eb,HIST SCI 201,3.410
Introductory Social Psychology,https://madgrades.com/courses/be59f649-e83c-30ab-98ac-cbf7d434b6bf,PSYCH / SOC 456,3.274
The Vampire in Literature and Film,https://madgrades.com/courses/0a5694c8-8457-36ef-8ed2-41994b9d4c4c,LITTRANS 329,3.718
WISE Seminar,https://madgrades.com/courses/d699c42f-3168-33b2-b576-db839ffa7e85,INTER-AG 175,3.960
Explorations in European History (H),https://madgrades.com/courses/c9ee26bb-56b9-31c3-8c9b-54d5c979f02e,HISTORY 223,3.278
Software Engineering,https://madgrades.com/courses/88e440eb-1e19-3b5f-b7a7-bf29b505e9c3,COMP SCI / E C E 506,3.361
Thermodynamics of Mixtures,https://madgrades.com/courses/f755de17-2795-3e30-a763-307822909677,CBE 311,2.972
Biomechanics of Human Movement,https://madgrades.com/courses/efe8882d-01f6-375e-ad2f-c6dc16408e9c,KINES 318,3.305
Statistical Experimental Design,https://madgrades.com/courses/fd11e9bf-745d-30d7-8dc9-50274f83111c,M E / STAT 424,3.414
Global Environmental Health: An Interdisciplinary Introduction,https://madgrades.com/courses/3b5849d4-042c-3019-a085-42fe9d3e1f24,ENVIR ST / MED HIST 213,3.623
Essentials of Family-centered Perinatal and Pediatric Nursing,https://madgrades.com/courses/15c753c4-6dd4-3394-9fc4-d75a69d0bd74,NURSING 332,3.749
Pharmacy Practice Experience I,https://madgrades.com/courses/0f4a71c6-81ed-3d01-98ce-88c0b81dbe7b,PHM PRAC 425,3.956
Managing Behavior in Organizations,https://madgrades.com/courses/cd95bf41-0812-3707-a192-cbda3069f689,M H R 704,3.837
Mechanics,https://madgrades.com/courses/6395caa1-9649-3566-8acc-f6bed85b5ff8,PHYSICS 311,3.124
Special Topics in Mass Communication,https://madgrades.com/courses/609a3b95-3f52-375d-8489-9a032c71b29d,JOURN 676,3.790
